               Omega               SigmaT1               SigmaT2           SigmaOmega1           SigmaOmega2
  0.413392978703E+01    0.329742610455E+00    0.620334563247E+00    0.381949679430E-01    0.201658625378E-03
  0.414912805830E+01    0.325473606586E+00    0.613197350444E+00    0.381035080242E-01    0.183033128926E-03
  0.416432632958E+01    0.320275694132E+00    0.604274971994E+00    0.380061957962E-01    0.152788599098E-03
  0.417952460085E+01    0.313819795847E+00    0.592938541613E+00    0.378717431096E-01    0.217041994436E-03
  0.419472287213E+01    0.304499804974E+00    0.576139577966E+00    0.378041044949E-01    0.149382592365E-03
  0.420992114341E+01    0.289606004953E+00    0.548721864660E+00    0.376656310152E-01    0.202715156619E-03
  0.422511941468E+01    0.266730695963E+00    0.506074456113E+00    0.375869479305E-01    0.184269336428E-03
  0.424031768596E+01    0.235593900084E+00    0.447604989381E+00    0.374855145786E-01    0.153930076383E-03
  0.425551595723E+01    0.198613598943E+00    0.377852323204E+00    0.373530204394E-01    0.232443465363E-03
  0.427071422851E+01    0.159547701478E+00    0.303933606657E+00    0.373052406932E-01    0.120589463229E-03
  0.428591249978E+01    0.121397800744E+00    0.231561791715E+00    0.371585929958E-01    0.213605514936E-03
  0.430111077106E+01    0.852923020720E-01    0.162902113827E+00    0.370929048144E-01    0.169282130308E-03
  0.431630904234E+01    0.507423989475E-01    0.970379486376E-01    0.369856316918E-01    0.164126271509E-03
  0.433150731361E+01    0.162768997252E-01    0.311665686395E-01    0.368753438639E-01    0.206633918628E-03
  0.434670558489E+01    0.202457997948E-01    0.388143152133E-01    0.368060346451E-01    0.144500472042E-03
  0.436190385616E+01    0.611285008490E-01    0.117336588319E+00    0.366888976496E-01    0.187544214939E-03
  0.437710212744E+01    0.107521802187E+00    0.206638877697E+00    0.366071769715E-01    0.169857050455E-03
  0.439230039872E+01    0.158056601882E+00    0.304121433534E+00    0.365124512969E-01    0.166525656829E-03
  0.440749866999E+01    0.208943501115E+00    0.402508707089E+00    0.364150131299E-01    0.179301094319E-03
  0.442269694127E+01    0.255855590105E+00    0.493453818012E+00    0.363315350186E-01    0.165268063334E-03
  0.443789521254E+01    0.296071499586E+00    0.571671575889E+00    0.362377068230E-01    0.168003901353E-03
  0.445309348382E+01    0.329165905714E+00    0.636292006107E+00    0.361449464435E-01    0.179415738936E-03
  0.446829175509E+01    0.356149703264E+00    0.689221949082E+00    0.360656552388E-01    0.156831004093E-03
  0.448349002637E+01    0.378327697515E+00    0.732947450751E+00    0.359663152693E-01    0.178062407146E-03
  0.449868829765E+01    0.396793097258E+00    0.769556174553E+00    0.358879935602E-01    0.167253238062E-03
  0.451388656892E+01    0.412258207798E+00    0.800406131349E+00    0.358012393949E-01    0.158788922210E-03
  0.452908484020E+01    0.424620985985E+00    0.825279045382E+00    0.357030243705E-01    0.192609691199E-03
  0.454428311147E+01    0.432537496090E+00    0.841540098131E+00    0.356461741771E-01    0.131589534155E-03
  0.455948138275E+01    0.433869510889E+00    0.844997306383E+00    0.355257022331E-01    0.201726364350E-03
  0.457467965402E+01    0.427138894796E+00    0.832729466386E+00    0.354772980489E-01    0.147665602974E-03
  0.458987792530E+01    0.412856489420E+00    0.805686448952E+00    0.353721302484E-01    0.175025711121E-03
  0.460507619658E+01    0.393471211195E+00    0.768609195727E+00    0.352924676313E-01    0.192346219430E-03
  0.462027446785E+01    0.372029989958E+00    0.727427646197E+00    0.352349579386E-01    0.123589074525E-03
  0.463547273913E+01    0.350810110569E+00    0.686588916189E+00    0.351110487587E-01    0.216935869420E-03
  0.465067101040E+01    0.330825507641E+00    0.648082259706E+00    0.350819459971E-01    0.123603486677E-03
  0.466586928168E+01    0.311982214451E+00    0.611731851480E+00    0.349628364275E-01    0.189016768192E-03
  0.468106755296E+01    0.293365091085E+00    0.575749384968E+00    0.349000239503E-01    0.180449911280E-03
  0.469626582423E+01    0.273781299591E+00    0.537794465021E+00    0.348343714244E-01    0.134377818118E-03
  0.471146409551E+01    0.252932399511E+00    0.497276852727E+00    0.347301952437E-01    0.197254943410E-03
  0.472666236678E+01    0.232737198472E+00    0.457967411885E+00    0.346836584076E-01    0.138396537600E-03
  0.474186063806E+01    0.217467203736E+00    0.428283480685E+00    0.345901744542E-01    0.167755138904E-03
  0.475705890933E+01    0.211996704340E+00    0.417858514446E+00    0.345170493255E-01    0.171996730889E-03
  0.477225718061E+01    0.219173803926E+00    0.432359716506E+00    0.344529952228E-01    0.144753454743E-03
  0.478745545189E+01    0.238213196397E+00    0.470297522339E+00    0.343666379251E-01    0.172162427111E-03
  0.480265372316E+01    0.265172898769E+00    0.523938359148E+00    0.343026914478E-01    0.157855478308E-03
  0.481785199444E+01    0.294909298420E+00    0.583146435072E+00    0.342328075607E-01    0.148978548637E-03
  0.483305026571E+01    0.323030501604E+00    0.639241157623E+00    0.341483293883E-01    0.176705606993E-03
  0.484824853699E+01    0.346973210573E+00    0.687136698612E+00    0.340947693631E-01    0.144502096409E-03
  0.486344680827E+01    0.366321712732E+00    0.725988680837E+00    0.340131039902E-01    0.161672746195E-03
  0.487864507954E+01    0.382615298033E+00    0.758828299873E+00    0.339413594721E-01    0.176260269850E-03
  0.489384335082E+01    0.398466795683E+00    0.790826768856E+00    0.338932865161E-01    0.125668360151E-03
  0.490904162209E+01    0.415978014469E+00    0.826155303178E+00    0.337919398845E-01    0.193307239120E-03
  0.492423989337E+01    0.435265094042E+00    0.865050242784E+00    0.337592554245E-01    0.130536538979E-03
  0.493943816464E+01    0.454277902842E+00    0.903440140646E+00    0.336655794240E-01    0.173240812791E-03
  0.495463643592E+01    0.470167905092E+00    0.935653734786E+00    0.336093944831E-01    0.168988098868E-03
  0.496983470720E+01    0.481084913015E+00    0.957993290579E+00    0.335532643325E-01    0.133663005129E-03
  0.498503297847E+01    0.487025111914E+00    0.970431332030E+00    0.334617341538E-01    0.194637943447E-03
  0.500023124975E+01    0.489374309778E+00    0.975711761706E+00    0.334346609676E-01    0.113537072367E-03
  0.501542952102E+01    0.489807099104E+00    0.977162026202E+00    0.333319650887E-01    0.188682924692E-03
  0.503062779230E+01    0.489297598600E+00    0.976719726011E+00    0.332983124474E-01    0.141238748090E-03
  0.504582606358E+01    0.487495988607E+00    0.973682908337E+00    0.332214371500E-01    0.155736839982E-03
  0.506102433485E+01    0.482532113791E+00    0.964309901004E+00    0.331568948261E-01    0.169730673335E-03
  0.507622260613E+01    0.471514999866E+00    0.942809867322E+00    0.331095006173E-01    0.133180484998E-03
  0.509142087740E+01    0.451813101768E+00    0.903899087497E+00    0.330305442310E-01    0.170111639185E-03
  0.510661914868E+01    0.422497302294E+00    0.845691427825E+00    0.329840948304E-01    0.144010463381E-03
  0.512181741995E+01    0.384987086058E+00    0.771001761468E+00    0.329177442046E-01    0.152431663316E-03
  0.513701569123E+01    0.342410892248E+00    0.686076239913E+00    0.328565329913E-01    0.159685393594E-03
  0.515221396251E+01    0.298180311918E+00    0.597741997852E+00    0.328050841075E-01    0.142807941087E-03
  0.516741223378E+01    0.254805713892E+00    0.511032340486E+00    0.327402663690E-01    0.153780135224E-03
  0.518261050506E+01    0.213476806879E+00    0.428340140253E+00    0.326812360949E-01    0.159568511122E-03
  0.519780877633E+01    0.174190297723E+00    0.349667564072E+00    0.326344133243E-01    0.136757008187E-03
  0.521300704761E+01    0.136066004634E+00    0.273255432363E+00    0.325651723601E-01    0.159545258690E-03
  0.522820531889E+01    0.978244021535E-01    0.196538959898E+00    0.325122714201E-01    0.159718108885E-03
  0.524340359016E+01    0.585932992399E-01    0.117767700370E+00    0.324695768296E-01    0.126163145452E-03
  0.525860186144E+01    0.188263002783E-01    0.378542411662E-01    0.323879558344E-01    0.180927436003E-03
  0.527380013271E+01    0.193949993700E-01    0.390126276331E-01    0.323629854944E-01    0.127465028422E-03
  0.528899840399E+01    0.530923008919E-01    0.106833489758E+00    0.322892311466E-01    0.158552060509E-03
  0.530419667526E+01    0.797163024545E-01    0.160464154856E+00    0.322378323329E-01    0.163607691631E-03
  0.531939494654E+01    0.982481986284E-01    0.197835899937E+00    0.321982087308E-01    0.126335241575E-03
  0.533459321782E+01    0.109513401985E+00    0.220593146077E+00    0.321242511161E-01    0.171576575610E-03
  0.534979148909E+01    0.115662701428E+00    0.233054207827E+00    0.320920487915E-01    0.132989336794E-03
  0.536498976037E+01    0.119167998433E+00    0.240191031207E+00    0.320288013384E-01    0.152749122198E-03
  0.538018803164E+01    0.121794298291E+00    0.245556985127E+00    0.319800537328E-01    0.151562401162E-03
  0.539538630292E+01    0.123977996409E+00    0.250030406345E+00    0.319336812709E-01    0.139495877286E-03
  0.541058457420E+01    0.124863602221E+00    0.251884621187E+00    0.318766181815E-01    0.153380538226E-03
  0.542578284547E+01    0.122937701643E+00    0.248063678194E+00    0.318314120597E-01    0.145274734696E-03
  0.544098111675E+01    0.116964302957E+00    0.236068726061E+00    0.317824759428E-01    0.142766320572E-03
  0.545617938802E+01    0.106841698289E+00    0.215688843110E+00    0.317293473237E-01    0.152777260204E-03
  0.547137765930E+01    0.939851030707E-01    0.189776513602E+00    0.316875922727E-01    0.139492714130E-03
  0.548657593057E+01    0.809836015105E-01    0.163558022925E+00    0.316343854657E-01    0.149227535330E-03
  0.550177420185E+01    0.706361979246E-01    0.142688245795E+00    0.315894705244E-01    0.145956957429E-03
  0.551697247313E+01    0.646857023239E-01    0.130692333014E+00    0.315437604802E-01    0.141634812042E-03
  0.553217074440E+01    0.628914013505E-01    0.127089256397E+00    0.314939106661E-01    0.149286277492E-03
  0.554736901568E+01    0.631593018770E-01    0.127651370410E+00    0.314519428386E-01    0.141204824461E-03
  0.556256728695E+01    0.627249032259E-01    0.126792512766E+00    0.314037926763E-01    0.145701651093E-03
  0.557776555823E+01    0.598254986107E-01    0.120948434843E+00    0.313593040679E-01    0.145233462964E-03
  0.559296382951E+01    0.550349988043E-01    0.111277686289E+00    0.313161452938E-01    0.141386555357E-03
  0.560816210078E+01    0.513135008514E-01    0.103764994676E+00    0.312694381768E-01    0.146465482900E-03
  0.562336037206E+01    0.526024997234E-01    0.106382603269E+00    0.312281892107E-01    0.141488997817E-03
  0.563855864333E+01    0.617073997855E-01    0.124807708734E+00    0.311832227253E-01    0.144276386998E-03
  0.565375691461E+01    0.785546004772E-01    0.158895156514E+00    0.311410865301E-01    0.143468030029E-03
  0.566895518588E+01    0.998357012868E-01    0.201955056277E+00    0.310995825193E-01    0.140645547239E-03
  0.568415345716E+01    0.120334297419E+00    0.243435029961E+00    0.310551415758E-01    0.145773232307E-03
  0.569935172844E+01    0.135299295187E+00    0.273721522356E+00    0.310166438766E-01    0.139464509595E-03
  0.571454999971E+01    0.142817795277E+00    0.288941880270E+00    0.309731198088E-01    0.143530511112E-03
  0.572974827099E+01    0.144989594817E+00    0.293342350844E+00    0.309328314961E-01    0.143433741723E-03
  0.574494654226E+01    0.147025197744E+00    0.297464047277E+00    0.308947446892E-01    0.137779678813E-03
  0.576014481354E+01    0.154581606388E+00    0.312752171980E+00    0.308506228039E-01    0.146336115270E-03
  0.577534308482E+01    0.170824795961E+00    0.345611574579E+00    0.308152923418E-01    0.138581118274E-03
  0.579054135609E+01    0.194983303547E+00    0.394479733276E+00    0.307745665410E-01    0.140520491580E-03
  0.580573962737E+01    0.223139002919E+00    0.451427206590E+00    0.307339601646E-01    0.145618828867E-03
  0.582093789864E+01    0.250407010317E+00    0.506569190420E+00    0.307008132736E-01    0.134249686205E-03
  0.583613616992E+01    0.273202091455E+00    0.552651619362E+00    0.306567531550E-01    0.146401175808E-03
  0.585133444119E+01    0.290760189295E+00    0.588129020522E+00    0.306240880367E-01    0.137752776592E-03
  0.586653271247E+01    0.305250495672E+00    0.617389724893E+00    0.305854487006E-01    0.139680619944E-03
  0.588173098375E+01    0.320235490799E+00    0.647638948134E+00    0.305477804251E-01    0.142607056974E-03
  0.589692925502E+01    0.338178813457E+00    0.683857329815E+00    0.305138775213E-01    0.137065323056E-03
  0.591212752630E+01    0.358268111944E+00    0.724399306004E+00    0.304757952740E-01    0.141428315571E-03
  0.592732579757E+01    0.376115888357E+00    0.760391877105E+00    0.304414774130E-01    0.139359900477E-03
  0.594252406885E+01    0.386034905910E+00    0.780339251252E+00    0.304068889133E-01    0.137950989341E-03
  0.595772234013E+01    0.384266197681E+00    0.776649964569E+00    0.303709096390E-01    0.140426574720E-03
  0.597292061140E+01    0.370941400528E+00    0.749600570936E+00    0.303376415762E-01    0.138328139914E-03
  0.598811888268E+01    0.349755197763E+00    0.706668018608E+00    0.303034977660E-01    0.138385753189E-03
  0.600331715395E+01    0.325618386269E+00    0.657782097054E+00    0.302692529268E-01    0.139812428807E-03
  0.601851542523E+01    0.302336603403E+00    0.610633955206E+00    0.302373964120E-01    0.137037946984E-03
  0.603371369650E+01    0.281739294529E+00    0.568918381733E+00    0.302035022483E-01    0.139086036996E-03
  0.604891196778E+01    0.263505399227E+00    0.531985292582E+00    0.301715950873E-01    0.138037250775E-03
  0.606411023906E+01    0.245355501771E+00    0.495232028178E+00    0.301397776518E-01    0.137337777653E-03
  0.607930851033E+01    0.224244296551E+00    0.452514402110E+00    0.301075761951E-01    0.138334295208E-03
  0.609450678161E+01    0.198222994804E+00    0.399906424293E+00    0.300766929373E-01    0.137268676812E-03
  0.610970505288E+01    0.167655199766E+00    0.338150475888E+00    0.300454420716E-01    0.137624264138E-03
  0.612490332416E+01    0.135138407350E+00    0.272493212720E+00    0.300149529147E-01    0.137550223425E-03
  0.614010159544E+01    0.104413598776E+00    0.210481133568E+00    0.299851672257E-01    0.136570451904E-03
  0.615529986671E+01    0.789617002010E-01    0.159128190660E+00    0.299545986792E-01    0.137940605717E-03
  0.617049813799E+01    0.609789006412E-01    0.122851387431E+00    0.299262222509E-01    0.135884473606E-03
  0.618569640926E+01    0.509574003518E-01    0.102629663832E+00    0.298964768774E-01    0.136834740155E-03
  0.620089468054E+01    0.476788990200E-01    0.959958288560E-01    0.298673970032E-01    0.137511813635E-03
  0.621609295181E+01    0.485230982304E-01    0.976631016708E-01    0.298402933930E-01    0.134694152821E-03
  0.623129122309E+01    0.503591001034E-01    0.101323725082E+00    0.298105120145E-01    0.138256197650E-03
  0.624648949437E+01    0.510156005621E-01    0.102608360445E+00    0.297848006640E-01    0.134154858621E-03
  0.626168776564E+01    0.504874996841E-01    0.101509230181E+00    0.297559041109E-01    0.136725110488E-03
  0.627688603692E+01    0.508797988296E-01    0.102259663495E+00    0.297290410759E-01    0.136994105908E-03
  0.629208430819E+01    0.549828000367E-01    0.110463427481E+00    0.297042075748E-01    0.132752025730E-03
  0.630728257947E+01    0.646200031042E-01    0.129773708947E+00    0.296746092375E-01    0.139285602207E-03
  0.632248085075E+01    0.797581002116E-01    0.160109840469E+00    0.296520272122E-01    0.132536407696E-03
  0.633767912202E+01    0.983557030559E-01    0.197361147314E+00    0.296241117233E-01    0.136617799588E-03
  0.635287739330E+01    0.116814896464E+00    0.234301273236E+00    0.295995428577E-01    0.135911676857E-03
  0.636807566457E+01    0.131249696016E+00    0.263138537353E+00    0.295758926987E-01    0.132702398975E-03
  0.638327393585E+01    0.139359205961E+00    0.279271729305E+00    0.295488250337E-01    0.137641542834E-03
  0.639847220712E+01    0.141763105989E+00    0.283958668083E+00    0.295269799252E-01    0.132713578113E-03
  0.641367047840E+01    0.141808599234E+00    0.283916428171E+00    0.295014361059E-01    0.135587505850E-03
  0.642886874968E+01    0.143743902445E+00    0.287652984608E+00    0.294782421210E-01    0.134935001805E-03
  0.644406702095E+01    0.150118499994E+00    0.300262175634E+00    0.294556111746E-01    0.133468754205E-03
  0.645926529223E+01    0.159944802523E+00    0.319756194796E+00    0.294316328352E-01    0.135568682116E-03
  0.647446356350E+01    0.168844699860E+00    0.337375984534E+00    0.294101157215E-01    0.133347264623E-03
  0.648966183478E+01    0.171304896474E+00    0.342113243871E+00    0.293873279349E-01    0.134370195922E-03
  0.650486010606E+01    0.163632392883E+00    0.326616601657E+00    0.293655455259E-01    0.134128311903E-03
  0.652005837733E+01    0.145612597466E+00    0.290490731942E+00    0.293443079830E-01    0.133152728877E-03
  0.653525664861E+01    0.120244197547E+00    0.239749283129E+00    0.293221796221E-01    0.134778250862E-03
  0.655045491988E+01    0.921062007546E-01    0.183542828543E+00    0.293021210203E-01    0.132946708514E-03
  0.656565319116E+01    0.650364980102E-01    0.129525886762E+00    0.292809916180E-01    0.133832454839E-03
  0.658085146243E+01    0.401530005038E-01    0.799215362396E-01    0.292608624652E-01    0.133477437887E-03
  0.659604973371E+01    0.153548996896E-01    0.305446194936E-01    0.292408854963E-01    0.133142199481E-03
  0.661124800499E+01    0.134030999616E-01    0.266459027714E-01    0.292208918703E-01    0.133822070448E-03
  0.662644627626E+01    0.496814996004E-01    0.987081155136E-01    0.292022435154E-01    0.132535094154E-03
  0.664164454754E+01    0.943005979061E-01    0.187241078612E+00    0.291827053998E-01    0.133401090001E-03
  0.665684281881E+01    0.144581496716E+00    0.286895327019E+00    0.291640911084E-01    0.133153619441E-03
  0.667204109009E+01    0.195202395320E+00    0.387093183245E+00    0.291459469782E-01    0.132579614393E-03
  0.668723936137E+01    0.240081503987E+00    0.475777899076E+00    0.291275940602E-01    0.133269727054E-03
  0.670243763264E+01    0.274742007256E+00    0.544103314342E+00    0.291103573007E-01    0.132117813634E-03
  0.671763590392E+01    0.297973394394E+00    0.589712188720E+00    0.290923509998E-01    0.133155959346E-03
  0.673283417519E+01    0.311704009771E+00    0.616462821648E+00    0.290757479453E-01    0.132121263680E-03
  0.674803244647E+01    0.319452285767E+00    0.631346770974E+00    0.290586852733E-01    0.132419503033E-03
  0.676323071774E+01    0.324348092079E+00    0.640569648868E+00    0.290420760648E-01    0.132525492861E-03
  0.677842898902E+01    0.327509313822E+00    0.646349323778E+00    0.290259906573E-01    0.132237919170E-03
  0.679362726030E+01    0.327635914087E+00    0.646129204892E+00    0.290101754874E-01    0.132138463862E-03
  0.680882553157E+01    0.322164386511E+00    0.634870611666E+00    0.289945286633E-01    0.132155992390E-03
  0.682402380285E+01    0.309176206589E+00    0.608820382930E+00    0.289793048380E-01    0.131946720307E-03
  0.683922207412E+01    0.288915306330E+00    0.568492450949E+00    0.289642466456E-01    0.132023737055E-03
  0.685442034540E+01    0.264099210501E+00    0.519263619638E+00    0.289494526766E-01    0.132270397982E-03
  0.686961861668E+01    0.238933697343E+00    0.469418772961E+00    0.289354077284E-01    0.131502234191E-03
  0.688481688795E+01    0.217411905527E+00    0.426799840558E+00    0.289211446810E-01    0.131880145527E-03
  0.690001515923E+01    0.201659098268E+00    0.395559888274E+00    0.289076643294E-01    0.131377895649E-03
  0.691521343050E+01    0.191131994128E+00    0.374607907971E+00    0.288939716520E-01    0.131827989471E-03
  0.693041170178E+01    0.183116301894E+00    0.358604153456E+00    0.288809873555E-01    0.131655262334E-03
  0.694560997305E+01    0.174179300666E+00    0.340820131433E+00    0.288682127585E-01    0.131295693743E-03
  0.696080824433E+01    0.161738097668E+00    0.316211060477E+00    0.288555665406E-01    0.131508115224E-03
  0.697600651561E+01    0.145017802715E+00    0.283281176286E+00    0.288434336507E-01    0.131299806471E-03
  0.699120478688E+01    0.125154301524E+00    0.244269640557E+00    0.288314138244E-01    0.131401520416E-03
  0.700640305816E+01    0.104659199715E+00    0.204091109528E+00    0.288198334309E-01    0.131303629825E-03
  0.702160132943E+01    0.865689963102E-01    0.168666050690E+00    0.288087140923E-01    0.130740277931E-03
  0.703679960071E+01    0.734419971704E-01    0.142963128740E+00    0.287970902542E-01    0.131678431972E-03
  0.705199787199E+01    0.663688033819E-01    0.129078373213E+00    0.287867418270E-01    0.130945477909E-03
  0.706719614326E+01    0.645145997405E-01    0.125358300210E+00    0.287764479222E-01    0.130779078311E-03
  0.708239441454E+01    0.657403022051E-01    0.127622732738E+00    0.287660475716E-01    0.131278566350E-03
  0.709759268581E+01    0.680361017585E-01    0.131957077639E+00    0.287563542979E-01    0.130847419118E-03
  0.711279095709E+01    0.706693008542E-01    0.136935690198E+00    0.287468345570E-01    0.130720456962E-03
  0.712798922836E+01    0.742980018258E-01    0.143830589518E+00    0.287374337050E-01    0.130873973297E-03
  0.714318749964E+01    0.803465023637E-01    0.155390707451E+00    0.287284569617E-01    0.130713235215E-03
  0.715838577092E+01    0.903045013547E-01    0.174480576048E+00    0.287195275911E-01    0.131324073938E-03
  0.717358404219E+01    0.105192400515E+00    0.203047362820E+00    0.287118437734E-01    0.130035070698E-03
  0.718878231347E+01    0.125106394291E+00    0.241247864227E+00    0.287033281340E-01    0.130857004111E-03
  0.720398058474E+01    0.148893594742E+00    0.286831373445E+00    0.286955691061E-01    0.130693149191E-03
  0.721917885602E+01    0.174247696996E+00    0.335335891122E+00    0.286881760352E-01    0.130412321389E-03
  0.723437712730E+01    0.198420897126E+00    0.381468291693E+00    0.286809259737E-01    0.130587169873E-03
  0.724957539857E+01    0.219392493367E+00    0.421353430823E+00    0.286740800787E-01    0.130315382540E-03
  0.726477366985E+01    0.236835598946E+00    0.454382064913E+00    0.286670453601E-01    0.130970182292E-03
  0.727997194112E+01    0.251952201128E+00    0.482878065992E+00    0.286609884363E-01    0.130317378340E-03
  0.729517021240E+01    0.266100913286E+00    0.509455795130E+00    0.286549203503E-01    0.130458069076E-03
  0.731036848367E+01    0.279455810785E+00    0.534453350827E+00    0.286491815432E-01    0.130450190761E-03
  0.732556675495E+01    0.290696203709E+00    0.555351869534E+00    0.286439293948E-01    0.130015953315E-03
  0.734076502623E+01    0.297409296036E+00    0.567559420453E+00    0.286384773238E-01    0.130593967975E-03
  0.735596329750E+01    0.296616405249E+00    0.565425755830E+00    0.286338259753E-01    0.130048122266E-03
  0.737116156878E+01    0.285622298717E+00    0.543865933618E+00    0.286290153664E-01    0.130388658099E-03
  0.738635984005E+01    0.263519704342E+00    0.501219400791E+00    0.286247276803E-01    0.130349655614E-03
  0.740155811133E+01    0.232436701655E+00    0.441601175607E+00    0.286207834463E-01    0.130207586769E-03
  0.741675638261E+01    0.196943894029E+00    0.373744218743E+00    0.286169498568E-01    0.130436022948E-03
  0.743195465388E+01    0.161623403430E+00    0.306364447261E+00    0.286137847354E-01    0.129904728729E-03
  0.744715292516E+01    0.128729298711E+00    0.243730222386E+00    0.286103997995E-01    0.130300408568E-03
  0.746235119643E+01    0.976295992732E-01    0.184632037529E+00    0.286075819163E-01    0.130210225019E-03
  0.747754946771E+01    0.659802034497E-01    0.124631692071E+00    0.286050578632E-01    0.130007493624E-03
  0.749274773898E+01    0.314480997622E-01    0.593327183691E-01    0.286025319232E-01    0.130406413232E-03
  0.750794601026E+01    0.712470011786E-02    0.134260152506E-01    0.286008467230E-01    0.129845451042E-03
  0.752314428154E+01    0.494539998472E-01    0.930804322782E-01    0.285989276901E-01    0.130202091019E-03
  0.753834255281E+01    0.940257012844E-01    0.176756618380E+00    0.285974895414E-01    0.130218402646E-03
  0.755354082409E+01    0.138353407383E+00    0.259768693667E+00    0.285964415089E-01    0.130016334066E-03
  0.756873909536E+01    0.179553106427E+00    0.336708000332E+00    0.285955203654E-01    0.130073470021E-03
  0.758393736664E+01    0.215665698051E+00    0.403925120127E+00    0.285948125655E-01    0.130359333894E-03
  0.759913563792E+01    0.246968895197E+00    0.461973469224E+00    0.285947369747E-01    0.129977180091E-03
  0.761433390919E+01    0.275665104389E+00    0.515000051019E+00    0.285947369747E-01    0.129977180091E-03
  0.762953218047E+01    0.303829699755E+00    0.566894337295E+00    0.285948125655E-01    0.130359333895E-03
  0.764473045174E+01    0.331687510014E+00    0.618077795280E+00    0.285955203654E-01    0.130073470020E-03
  0.765992872302E+01    0.357824712992E+00    0.665920212858E+00    0.285964415089E-01    0.130016334066E-03
  0.767512699429E+01    0.380432695150E+00    0.707071373186E+00    0.285974895414E-01    0.130218402646E-03
  0.769032526557E+01    0.397894889116E+00    0.738555349647E+00    0.285989276901E-01    0.130202091020E-03
  0.770552353685E+01    0.408734112978E+00    0.757670802283E+00    0.286008467230E-01    0.129845451042E-03
  0.772072180812E+01    0.412039190531E+00    0.762779268521E+00    0.286025319232E-01    0.130406413232E-03
  0.773592007940E+01    0.408351093531E+00    0.754936595544E+00    0.286050578632E-01    0.130007493624E-03
  0.775111835067E+01    0.399781107903E+00    0.738093076914E+00    0.286075819163E-01    0.130210225019E-03
  0.776631662195E+01    0.388824313879E+00    0.716885995901E+00    0.286103997995E-01    0.130300408567E-03
  0.778151489323E+01    0.376769810915E+00    0.693707364311E+00    0.286137847354E-01    0.129904728729E-03
  0.779671316450E+01    0.363055288792E+00    0.667532180872E+00    0.286169498568E-01    0.130436022948E-03
  0.781191143578E+01    0.346167802811E+00    0.635595843424E+00    0.286207834463E-01    0.130207586769E-03
  0.782710970705E+01    0.325409501791E+00    0.596643959652E+00    0.286247276803E-01    0.130349655614E-03
  0.784230797833E+01    0.301969289780E+00    0.552884150277E+00    0.286290153664E-01    0.130388658099E-03
  0.785750624960E+01    0.278425693512E+00    0.509052668339E+00    0.286338259753E-01    0.130048122266E-03
  0.787270452088E+01    0.257638305426E+00    0.470372136825E+00    0.286384773238E-01    0.130593967975E-03
  0.788790279216E+01    0.242469906807E+00    0.442040888624E+00    0.286439293948E-01    0.130015953315E-03
  0.790310106343E+01    0.235945492983E+00    0.429522011021E+00    0.286491815432E-01    0.130450190761E-03
  0.791829933471E+01    0.240257903934E+00    0.436733250450E+00    0.286549203503E-01    0.130458069076E-03
  0.793349760598E+01    0.254875302315E+00    0.462622612490E+00    0.286609884363E-01    0.130317378340E-03
  0.794869587726E+01    0.276118993759E+00    0.500439527004E+00    0.286670453601E-01    0.130970182292E-03
  0.796389414854E+01    0.299232512712E+00    0.541521883415E+00    0.286740800787E-01    0.130315382540E-03
  0.797909241981E+01    0.320890396833E+00    0.579844508943E+00    0.286809259737E-01    0.130587169873E-03
  0.799429069109E+01    0.339867591858E+00    0.613208073456E+00    0.286881760352E-01    0.130412321390E-03
  0.800948896236E+01    0.356195002794E+00    0.641689445482E+00    0.286955691061E-01    0.130693149191E-03
  0.802468723364E+01    0.370486408472E+00    0.666413825434E+00    0.287033281340E-01    0.130857004111E-03
  0.803988550491E+01    0.383836209774E+00    0.689363020028E+00    0.287118437734E-01    0.130035070698E-03
  0.805508377619E+01    0.397431105375E+00    0.712672322272E+00    0.287195275911E-01    0.131324073938E-03
  0.807028204747E+01    0.411556601524E+00    0.736850327212E+00    0.287284569617E-01    0.130713235215E-03
  0.808548031874E+01    0.424755513668E+00    0.759287191719E+00    0.287374337050E-01    0.130873973298E-03
  0.810067859002E+01    0.434077590704E+00    0.774724735666E+00    0.287468345570E-01    0.130720456962E-03
  0.811587686129E+01    0.436590313911E+00    0.777969955075E+00    0.287563542979E-01    0.130847419117E-03
  0.813107513257E+01    0.431111603975E+00    0.766977767033E+00    0.287660475716E-01    0.131278566349E-03
  0.814627340385E+01    0.418540000916E+00    0.743412784006E+00    0.287764479222E-01    0.130779078311E-03
  0.816147167512E+01    0.400404810905E+00    0.710048457496E+00    0.287867418270E-01    0.130945477909E-03
  0.817666994640E+01    0.377345204353E+00    0.668065178280E+00    0.287970902542E-01    0.131678431972E-03
  0.819186821767E+01    0.349220097065E+00    0.617257218016E+00    0.288087140923E-01    0.130740277931E-03
  0.820706648895E+01    0.316110998392E+00    0.557813663509E+00    0.288198334309E-01    0.131303629825E-03
  0.822226476022E+01    0.278286188841E+00    0.490252062692E+00    0.288314138244E-01    0.131401520416E-03
  0.823746303150E+01    0.235282406211E+00    0.413800587167E+00    0.288434336507E-01    0.131299806471E-03
  0.825266130278E+01    0.186157107353E+00    0.326851723302E+00    0.288555665406E-01    0.131508115224E-03
  0.826785957405E+01    0.131296902895E+00    0.230139294432E+00    0.288682127585E-01    0.131295693743E-03
