               Omega               SigmaT1               SigmaT2           SigmaOmega1           SigmaOmega2
  0.942292819101E+00    0.278369002044E-01    0.177021221845E-01    0.214640692746E+00    0.124224880108E+00
  0.957491090377E+00    0.277251005173E-01    0.178847625560E-01    0.767101049327E-01    0.120773400075E+00
  0.972689361653E+00    0.246181003749E-01    0.161050728237E-01    0.163068559752E+00    0.867089114924E-01
  0.987887632929E+00    0.199287999421E-01    0.132185300696E-01    0.245286233158E+00    0.163161235906E+00
  0.100308590420E+01    0.154270995408E-01    0.103723940102E-01    0.121664681619E+00    0.213146810758E+00
  0.101828417548E+01    0.126283997670E-01    0.860473609055E-02    0.287017936497E+00    0.335311620149E+00
  0.103348244676E+01    0.123720001429E-01    0.854138475067E-02    0.269738072363E+00    0.320021228506E+00
  0.104868071803E+01    0.147470002994E-01    0.103133206969E-01    0.123880416260E+00    0.101728671792E+00
  0.106387898931E+01    0.192862991244E-01    0.136602960918E-01    0.120927784842E+00    0.341553926655E+00
  0.107907726058E+01    0.252592004836E-01    0.181158865290E-01    0.132329219904E+00    0.989722596263E-01
  0.109427553186E+01    0.319425016642E-01    0.231927617949E-01    0.290780143548E+00    0.280102764365E+00
  0.110947380314E+01    0.387955009937E-01    0.285118572258E-01    0.613459920433E-01    0.654413213241E-01
  0.112467207441E+01    0.454563982785E-01    0.338079631163E-01    0.254951766844E+00    0.291566579034E+00
  0.113987034569E+01    0.515439994633E-01    0.387885263183E-01    0.338226991187E+00    0.167024157880E+00
  0.115506861696E+01    0.564264990389E-01    0.429568880581E-01    0.305646251382E+00    0.329177722572E+00
  0.117026688824E+01    0.592275001109E-01    0.456061013809E-01    0.205372960258E+00    0.137318327101E+00
  0.118546515951E+01    0.591802000999E-01    0.460842983818E-01    0.237108705104E+00    0.209968643490E+00
  0.120066343079E+01    0.561065003276E-01    0.441769466669E-01    0.133871019402E+00    0.376736700682E+00
  0.121586170207E+01    0.506489984691E-01    0.403171692654E-01    0.197998744607E+00    0.291576847098E+00
  0.123105997334E+01    0.440819002688E-01    0.354689625687E-01    0.128639086773E+00    0.143910026827E+00
  0.124625824462E+01    0.378657989204E-01    0.307920263382E-01    0.765735144390E-01    0.612532315497E-01
  0.126145651589E+01    0.332202985883E-01    0.272981458048E-01    0.774541795942E-01    0.751842222823E-01
  0.127665478717E+01    0.308416001499E-01    0.256060146217E-01    0.150230477117E+00    0.803076242953E-01
  0.129185305845E+01    0.307477992028E-01    0.257889125099E-01    0.110656899538E+00    0.208504737323E-01
  0.130705132972E+01    0.322806015611E-01    0.273472929969E-01    0.138144450967E+00    0.434544293536E-01
  0.132224960100E+01    0.343427993357E-01    0.293834858485E-01    0.873497213922E-01    0.490335139375E-01
  0.133744787227E+01    0.358147993684E-01    0.309433628550E-01    0.123058448711E+00    0.356731050194E-01
  0.135264614355E+01    0.358961001039E-01    0.313136242291E-01    0.106182474449E+00    0.312012316865E-02
  0.136784441482E+01    0.341782011092E-01    0.300996383537E-01    0.104601436345E+00    0.315063124778E-03
  0.138304268610E+01    0.305767003447E-01    0.271815865477E-01    0.108162812229E+00    0.120784353803E-01
  0.139824095738E+01    0.254213996232E-01    0.228088287508E-01    0.954696475817E-01    0.124906924255E-01
  0.141343922865E+01    0.197275001556E-01    0.178625416401E-01    0.949551296795E-01    0.498707583469E-02
  0.142863749993E+01    0.152628002688E-01    0.139451273380E-01    0.933354974321E-01    0.299498046396E-02
  0.144383577120E+01    0.140471002087E-01    0.129491848338E-01    0.931621761998E-01    0.740133268035E-02
  0.145903404248E+01    0.174480993301E-01    0.162264224569E-01    0.823662194570E-01    0.143517017635E-01
  0.147423231376E+01    0.254714991897E-01    0.238946376927E-01    0.778867017194E-01    0.172262121157E-01
  0.148943058503E+01    0.367023013532E-01    0.347267267250E-01    0.880934875213E-01    0.174238474733E-01
  0.150462885631E+01    0.488255992532E-01    0.465904574569E-01    0.950733303418E-01    0.254261741116E-01
  0.151982712758E+01    0.593640990555E-01    0.571225023503E-01    0.960097408443E-01    0.403036365683E-01
  0.153502539886E+01    0.663900002837E-01    0.644133565330E-01    0.674106290827E-01    0.707210078371E-01
  0.155022367013E+01    0.691163986921E-01    0.676084647984E-01    0.546908293633E-01    0.213081152913E-01
  0.156542194141E+01    0.681630969048E-01    0.672161452677E-01    0.466124843832E-01    0.601018810043E-01
  0.158062021269E+01    0.652016028762E-01    0.648104836399E-01    0.660017178910E-01    0.110071803512E-01
  0.159581848396E+01    0.620209015906E-01    0.621365179594E-01    0.899339153992E-01    0.463703895442E-01
  0.161101675524E+01    0.596138983965E-01    0.601919055598E-01    0.426152101519E-01    0.129863902446E-01
  0.162621502651E+01    0.579863004386E-01    0.590008552219E-01    0.132630486781E+00    0.271881589149E+00
  0.164141329779E+01    0.567648001015E-01    0.581990179796E-01    0.242476368034E+00    0.133327495436E+00
  0.165661156907E+01    0.559642016888E-01    0.578112656167E-01    0.388252222646E+00    0.357129823643E+00
  0.167180984034E+01    0.562366992235E-01    0.585261895192E-01    0.590308837895E-01    0.175712050694E+00
  0.168700811162E+01    0.585458017886E-01    0.613787068621E-01    0.159005387826E+00    0.205603123094E+00
